,Unnamed: 0,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,begin_month,credit
55,55,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,13856,3010,0,0,0,Laborers,24.0,2.0
56,56,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,16137,9391,0,1,0,Laborers,29.0,2.0
57,57,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,17031,642,0,0,0,Core staff,3.0,1.0
58,58,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23334,0,0,0,0,,23.0,2.0
59,59,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,22985,0,0,1,0,,25.0,2.0
60,60,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,21397,0,0,0,0,,1.0,1.0
61,61,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,11373,1371,0,0,0,Managers,15.0,2.0
62,62,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,17402,3153,0,1,0,Core staff,40.0,1.0
63,63,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,15586,3337,0,0,0,Managers,21.0,2.0
64,64,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,9047,716,0,0,0,Security staff,32.0,2.0
65,65,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,12729,4936,1,0,0,Cleaning staff,10.0,2.0
66,66,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,13761,2783,0,0,0,Laborers,4.0,1.0
67,67,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,12135,1216,0,0,0,High skill tech staff,2.0,1.0
68,68,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,10309,1610,0,0,0,Laborers,14.0,1.0
69,69,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,15462,2969,0,0,1,Medicine staff,59.0,2.0
70,70,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,9874,1928,0,1,0,Laborers,39.0,2.0
71,71,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,15904,3787,0,0,0,Laborers,54.0,2.0
72,72,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,21574,1081,0,1,0,,4.0,2.0
73,73,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23269,0,0,1,0,,34.0,2.0
74,74,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,10350,219,1,1,0,Sales staff,25.0,2.0
75,75,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15653,5500,0,0,1,Core staff,34.0,2.0
76,76,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,13557,586,1,1,0,,15.0,2.0
77,77,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,9818,520,0,0,0,Core staff,7.0,1.0
78,78,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,12690,231,1,0,0,Sales staff,23.0,1.0
79,79,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,14816,1672,0,0,0,Core staff,2.0,0.0
80,80,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,17862,212,0,0,0,Laborers,2.0,1.0
81,81,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,10314,962,0,0,1,Sales staff,-0.0,0.0
82,82,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,15274,1423,0,0,1,Accountants,53.0,2.0
83,83,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,11905,1700,0,0,0,High skill tech staff,38.0,1.0
84,84,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23563,0,0,1,0,,27.0,2.0
85,85,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,18013,1215,0,0,0,Laborers,41.0,1.0
86,86,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,12571,451,1,0,1,Drivers,45.0,2.0
87,87,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,13270,235,1,1,1,Core staff,56.0,2.0
88,88,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20412,5427,0,0,0,Managers,45.0,2.0
89,89,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,14465,4145,1,1,0,Managers,59.0,2.0
90,90,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,20200,9404,1,0,0,Cleaning staff,30.0,2.0
91,91,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,18744,2988,0,0,0,Private service staff,20.0,2.0
92,92,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12190,691,0,0,0,Laborers,5.0,2.0
93,93,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19053,3629,0,0,0,High skill tech staff,22.0,1.0
94,94,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23770,0,0,0,0,,26.0,2.0
95,95,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,16081,0,0,1,0,,14.0,2.0
96,96,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,23674,2087,0,0,0,Security staff,56.0,2.0
97,97,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,9373,1212,0,0,0,Drivers,46.0,2.0
98,98,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,10837,588,0,0,1,Sales staff,5.0,2.0
99,99,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,19363,12332,0,1,1,Medicine staff,35.0,2.0
100,100,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,22112,8491,0,0,0,Private service staff,9.0,2.0
101,101,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,19661,3046,1,1,0,Managers,2.0,1.0
102,102,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12269,604,0,0,0,Managers,12.0,2.0
103,103,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,15825,3720,1,1,0,Managers,12.0,2.0
104,104,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,15994,2537,0,1,0,Sales staff,7.0,0.0
105,105,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,9984,2606,0,0,0,Laborers,5.0,2.0
106,106,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,16118,1959,0,1,0,,47.0,2.0
107,107,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,9310,1678,0,0,0,,4.0,1.0
108,108,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,10762,683,0,1,0,Core staff,22.0,2.0
109,109,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,22811,2234,1,1,0,High skill tech staff,13.0,2.0
110,110,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,12846,164,0,0,0,Managers,57.0,2.0
111,111,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,16175,2371,0,0,0,Drivers,44.0,2.0
112,112,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,17826,201,0,1,0,Laborers,4.0,2.0
113,113,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17384,1138,0,0,0,Cooking staff,36.0,1.0
114,114,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,11564,2944,0,0,1,Managers,43.0,2.0
115,115,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20920,0,0,0,0,,49.0,2.0
116,116,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,14317,2751,0,0,0,Managers,11.0,2.0
117,117,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16173,674,0,0,0,Sales staff,27.0,2.0
118,118,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,18259,5756,0,1,0,Sales staff,47.0,2.0
119,119,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,12393,1854,1,1,0,Cooking staff,-0.0,1.0
120,120,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21497,0,0,0,0,,4.0,1.0
121,121,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,16641,9988,1,1,0,Sales staff,35.0,2.0
122,122,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,12902,4120,0,0,0,Core staff,39.0,2.0
123,123,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,19431,6226,0,0,0,High skill tech staff,48.0,2.0
124,124,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15525,3357,0,0,0,Accountants,55.0,2.0
125,125,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12483,4039,0,0,0,Managers,42.0,2.0
126,126,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,11709,4983,0,0,0,Laborers,45.0,2.0
127,127,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,16537,410,0,1,1,Laborers,30.0,2.0
128,128,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,13741,5221,0,0,0,Laborers,38.0,1.0
129,129,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,17537,1749,0,0,0,Laborers,11.0,2.0
130,130,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,Laborers,1.0,0.0
131,131,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,14228,5330,0,1,0,,33.0,0.0
132,132,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,10559,429,1,1,0,Drivers,35.0,2.0
133,133,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,13168,2574,0,0,0,Managers,22.0,2.0
134,134,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,22991,0,0,0,0,,6.0,2.0
135,135,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,15333,196,0,1,0,Managers,23.0,0.0
136,136,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,12640,399,0,0,0,Accountants,29.0,2.0
137,137,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13591,3246,0,0,0,Sales staff,46.0,2.0
138,138,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,24367,0,0,0,0,,2.0,0.0
139,139,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13590,982,0,1,0,,39.0,2.0
140,140,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,11917,1680,1,0,0,Laborers,15.0,0.0
141,141,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,10551,3000,0,0,1,Core staff,12.0,2.0
142,142,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,22456,1934,0,1,0,Managers,11.0,2.0
143,143,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13821,1071,0,0,1,Core staff,45.0,2.0
144,144,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,10351,1322,0,0,0,,8.0,2.0
145,145,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,19598,11940,0,1,0,Medicine staff,7.0,2.0
146,146,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,14136,7400,1,1,0,Managers,6.0,1.0
147,147,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,12681,709,0,0,0,Sales staff,11.0,1.0
148,148,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,14496,808,0,1,0,,26.0,2.0
149,149,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,12974,2379,0,0,0,Laborers,49.0,1.0
150,150,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,11900,2828,0,0,0,Laborers,41.0,2.0
151,151,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15344,314,0,0,0,Drivers,33.0,2.0
152,152,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,10597,574,1,0,0,Medicine staff,35.0,2.0
153,153,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17975,3476,0,0,0,Drivers,32.0,1.0
154,154,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,18868,10993,1,0,0,,46.0,2.0
155,155,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20362,0,0,0,0,,35.0,2.0
156,156,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,16728,880,0,0,0,Laborers,38.0,2.0
157,157,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,10087,1447,0,0,0,,44.0,2.0
158,158,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,10756,2355,0,0,0,Core staff,39.0,2.0
159,159,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,21899,0,0,1,0,,51.0,1.0
160,160,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,17136,1266,0,0,0,Sales staff,11.0,2.0
161,161,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,13465,839,0,1,0,Managers,33.0,0.0
162,162,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,16409,2045,1,0,0,Managers,60.0,2.0
163,163,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,22044,0,0,0,0,,24.0,2.0
164,164,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,20815,829,0,0,1,Security staff,3.0,1.0
165,165,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,21017,895,1,1,0,,4.0,1.0
166,166,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21596,0,0,1,0,,15.0,2.0
167,167,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15980,119,1,1,0,Drivers,14.0,2.0
168,168,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,19702,9870,1,1,0,,21.0,1.0
169,169,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,14077,3792,0,0,0,,3.0,1.0
170,170,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18173,678,0,1,1,Core staff,60.0,2.0
171,171,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,15499,869,0,0,0,Private service staff,2.0,0.0
172,172,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,15812,8091,0,0,0,,49.0,1.0
173,173,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23086,0,0,0,0,,19.0,0.0
174,174,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,10755,1040,0,0,1,Sales staff,15.0,2.0
175,175,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,10705,1376,0,0,0,Drivers,2.0,1.0
176,176,F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,17940,9957,1,0,0,Managers,26.0,2.0
177,177,F,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,11785,1415,0,0,0,,22.0,1.0
178,178,M,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20288,0,0,0,0,,12.0,2.0
179,179,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,16990,2026,0,0,0,Drivers,19.0,2.0
180,180,F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,20791,4814,1,1,0,Managers,58.0,2.0
181,181,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20718,0,0,0,0,,5.0,0.0
182,182,F,N,Y,2,67500.0,Working,Higher education,Married,House / apartment,10281,961,1,0,0,,12.0,0.0
183,183,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,22861,0,0,1,0,,42.0,1.0
184,184,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Office apartment,15092,995,0,0,1,Drivers,46.0,2.0
185,185,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,16803,2227,1,1,0,Cleaning staff,49.0,2.0
186,186,F,Y,Y,0,216000.0,Working,Higher education,Married,House / apartment,18529,1809,0,0,0,Secretaries,10.0,2.0
187,187,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13830,4239,0,0,0,Laborers,4.0,1.0
188,188,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,20027,0,0,0,0,,26.0,0.0
189,189,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,16573,4574,0,0,0,,44.0,2.0
190,190,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,23262,0,0,1,0,,13.0,0.0
191,191,F,N,N,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21310,0,0,0,0,,28.0,2.0
192,192,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,13299,1628,0,0,0,Laborers,14.0,2.0
193,193,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,16224,2574,0,0,0,Security staff,22.0,0.0
194,194,M,Y,N,1,252000.0,State servant,Higher education,Married,House / apartment,12483,1650,1,1,0,High skill tech staff,19.0,1.0
195,195,F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,10981,552,0,0,0,Laborers,5.0,2.0
196,196,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,9889,2289,0,0,0,Managers,36.0,2.0
197,197,M,N,Y,1,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,11524,2554,0,0,0,Sales staff,49.0,2.0
198,198,F,N,Y,2,225000.0,State servant,Secondary / secondary special,Married,House / apartment,13077,5394,1,0,0,Medicine staff,26.0,1.0
199,199,F,N,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,15812,658,0,1,0,Sales staff,11.0,2.0
200,200,M,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,14646,1953,0,0,0,Managers,3.0,1.0
201,201,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,12322,3717,0,0,0,Core staff,10.0,1.0
202,202,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,14185,4447,1,0,0,Core staff,8.0,1.0
203,203,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11613,4031,0,1,0,Laborers,41.0,2.0
204,204,M,N,N,0,382500.0,Working,Secondary / secondary special,Married,Municipal apartment,17254,1207,1,1,0,Managers,46.0,1.0
205,205,F,N,Y,0,171000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,16938,673,0,0,0,Laborers,28.0,2.0
206,206,M,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,11365,2745,1,1,0,Core staff,48.0,1.0
207,207,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,14407,1345,0,0,0,HR staff,6.0,2.0
208,208,F,N,N,2,112500.0,State servant,Higher education,Married,House / apartment,11604,2721,0,0,1,Core staff,3.0,0.0
209,209,F,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,21383,0,0,1,0,,18.0,2.0
210,210,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,14816,1672,0,0,0,Core staff,-0.0,1.0
211,211,F,N,Y,0,315000.0,Commercial associate,Higher education,Separated,House / apartment,17752,2380,1,1,0,Accountants,52.0,2.0
212,212,M,Y,Y,1,427500.0,Working,Higher education,Married,House / apartment,15085,354,0,0,0,Managers,3.0,1.0
